gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
F11R	4.456736784647475	2.0749684335548513	13.810246463663473	1.1490348795644656e-06	0.0001580612759204897	6.19850604039153
CHRNB2	3.7002482066830797	2.231764881157257	13.269520747822195	1.5409389773306749e-06	0.00018023560193299422	5.946157316880248
HBA2	6.6965102081865	2.9890178007094272	12.459328849648422	2.443665571433605e-06	0.00022688318833452776	5.546361808831895
CHGA	4.683765617175885	5.102768728506364	12.357705030038455	2.5941790723045384e-06	0.00023290119033462744	5.422751094766393
ADGRA1	5.0848353561107995	1.2588042023189447	12.243249678427427	2.776327346491185e-06	0.00023909954812816763	5.326055278492434
JPH3	4.927016355268928	2.468105473641506	12.166509082619008	2.9065088879532354e-06	0.0002421183871674104	5.36440235878902
JAG2	2.379940192731906	4.117669685156679	11.782750276492694	3.6697824308087424e-06	0.0002720765404280126	5.113859469611262
ANKRD24	2.9817407135775733	3.4132930225503224	11.490369885074374	4.403770271869725e-06	0.00030349469064516293	4.958337280955959
CXADR	2.8134613734896785	3.777095573538372	11.431314217967513	4.571295031694643e-06	0.00030856174219479087	4.905596116377842
KLF15	2.1735684841646257	4.8170183291466815	11.424547888599466	4.5909426484073535e-06	0.00030856174219479087	4.839663791330626
CNTNAP2	2.2390529831380137	4.459187974203399	11.157881110038574	5.446426299054158e-06	0.00034135733736222835	4.683515850393485
AMER2	2.669395863155077	6.183876072210916	11.136094269978368	5.523887262370477e-06	0.00034156161613638284	4.585053543250307
INA	2.278902171827345	5.01362129233584	11.10587881892998	5.633373370960751e-06	0.0003457693203802291	4.612056532319089
SLC26A2	1.998323198568274	6.560211437214482	11.005326732938578	6.0156767151393735e-06	0.0003555671692588963	4.48792803499027
SSTR1	4.073051905721476	1.3838866652686683	10.84562319589905	6.684328782451995e-06	0.000376339039822865	4.5291205453183165
CHRM2	4.271861907370017	0.7312525032661064	10.834383951666688	6.734443884136866e-06	0.00037742123559583404	4.479169772594043
ARHGEF5	2.131085990094559	3.907448514528471	10.73900615965617	7.177141627228417e-06	0.00039083654192339926	4.43306789617153
TSPAN13	1.7369017956380137	5.793426477428169	10.693743212667211	7.3986018032333005e-06	0.00039672446256396786	4.28390212811896
RAP1GAP	2.409812911561911	5.901377604806569	10.588973339246072	7.941282947613404e-06	0.000409617293406556	4.20458760480986
TEKT2	3.994215605909691	1.263783951770007	10.456748380548014	8.691095723479616e-06	0.00043479038816648474	4.2767190069668946
KCNC3	4.035697183532225	1.5961718719989446	10.29923835924056	9.690070184221055e-06	0.0004678557432840916	4.183905021754106
AKR1B10	5.204765538276627	0.8856317051324964	10.270969784812062	9.882679733439283e-06	0.0004730300509875881	4.137907770982868
EIF3C	1.5561137012052617	7.3529215112754605	10.239997700748503	1.0098661100454803e-05	0.00047867062651302104	3.9221426897745255
SLC43A1	2.769299207235438	2.9872166391843455	10.093747938487045	1.1192799088190819e-05	0.0005107175825707728	4.028755587312675
SH3GL3	2.2532530702773066	5.31979797083288	10.088828710473253	1.1231848296971165e-05	0.0005109834035890411	3.8600415238530843
SHANK1	2.5587746381210406	3.0247291798811204	10.085274672986815	1.1260155681473239e-05	0.0005109834035890411	4.020993413198287
ALPL	2.2606816021287064	4.238443999384132	10.00496457495808	1.192166302745823e-05	0.0005266140989974834	3.87733811000788
FOXJ1	9.046358896526176	-0.09008555710447186	9.87921632620223	1.3046916264342272e-05	0.0005459900801946352	3.7857175418357167
SCG2	1.9201241216305767	4.388249557644856	9.752743956201986	1.4300292068538839e-05	0.0005793013438203941	3.672493367852139
TRPM4	2.2403644353147003	5.596620328503171	9.738212161229587	1.4452764347025534e-05	0.0005826358326207454	3.5748511836735757
TNNT1	4.179475875594825	3.9889838165768596	9.717516453257659	1.467306894071897e-05	0.0005883225006889972	3.6797999412248323
BEX2	1.8843598243919928	4.839710055532848	9.690803152332798	1.4963021107487464e-05	0.0005931284428979935	3.5865941144498734
GCDH	2.440913787454077	3.491160020151413	9.667684627219742	1.5219150282538458e-05	0.0006012842593664068	3.6827757867922166
HSP90AA1	1.4051727309427005	9.597204752936433	9.632531069173096	1.561809519539437e-05	0.0006097062541726446	3.3972814062673775
GLCE	1.600614770832654	5.101736338328606	9.618329485288118	1.5782579914296616e-05	0.0006113704386794033	3.510040816059563
PLCXD3	3.0989069949688552	2.0469779930970464	9.502451532569664	1.719972674487903e-05	0.0006477230346410696	3.623723009350293
SYP	2.8516116510746037	3.6830773814463322	9.493581489958517	1.731395216098891e-05	0.0006491364140899883	3.5328383524646405
ACE	3.1544420552362737	1.3469930770541794	9.485725320377778	1.741583205394224e-05	0.0006512914081167962	3.6135321633683297
MAPT	2.429698971892508	3.02130751270265	9.480109545720557	1.7489070264320012e-05	0.0006512914081167962	3.570697218394317
NEFH	1.9471206476148546	4.7428709917284	9.458830212746125	1.7769735878123613e-05	0.0006548528175470701	3.4111153313749796
SYN1	3.6807051523488448	3.9082114176357967	9.425577923823505	1.8218491044057125e-05	0.0006659264748155772	3.459389930502474
SCN9A	2.923205249584591	2.3263899814937954	9.378665448774576	1.8873367460179344e-05	0.0006770361990196949	3.52427598011766
EPPK1	2.3895286742469386	2.9567800752758076	9.36593750132578	1.9055566719740383e-05	0.0006813003677852918	3.4863611376938035
ARC	2.6107003699135887	4.8144273269993345	9.3646381649081	1.907427726053108e-05	0.0006813003677852918	3.329347816040145
FAM110D	2.807727195293663	1.8022712369269647	9.339531830540091	1.9439885468653225e-05	0.0006913855626313949	3.5054685235375542
DNAAF3	4.419263275315526	1.9714739479478844	9.287279824985323	2.0226267988851063e-05	0.0007117332309890408	3.4635578164872207
MAPK8IP2	2.0101268701344366	3.4618829723051987	9.272460420029208	2.0455743346299116e-05	0.00071526198155512	3.3772503510296517
NCKAP1L	1.7140134968581044	6.739536713273259	9.244760561932914	2.0892538690480954e-05	0.0007244346035703511	3.146471345664054
FAM19A2	2.1462973776748053	3.1240705843028467	9.224381871012111	2.1220564683138106e-05	0.0007248732584750031	3.3646989814021753
SLC35F1	2.396612930811484	3.959348399127638	9.202630233307092	2.1577074773780545e-05	0.0007284016969872379	3.2761923297836493
RASSF5	3.150672174922905	2.0302709432145276	9.190062851183773	2.178611181098185e-05	0.000729527280380237	3.3881053391573808
TNNI3	3.342090856982815	2.6461319562554197	9.151843868714941	2.2435898608212724e-05	0.0007467692184044191	3.3360161995095865
ANKRD29	2.738368312391665	2.1691086105513073	9.09180901622766	2.35009177813613e-05	0.0007683597311626571	3.3082577591625437
SHANK2	3.562459585922565	0.5032738368742906	9.024485340164865	2.4763178252498496e-05	0.00078842458562903	3.257090745879161
GRM2	4.790784053700113	-0.6842339675423685	8.986482272508663	2.5509142214304453e-05	0.000802426786055649	3.0953523874430537
PKP1	1.6932390359826446	7.43225029746759	8.972838604319957	2.578306999757131e-05	0.0008049455067474848	2.908448327650116
RFPL3	7.181665982864945	-2.4031262236846365	8.940763376653805	2.6440129268663466e-05	0.0008221798996781642	2.5198300761242898
MTNR1A	3.9240568330468744	-0.5531713784153256	8.936726598960378	2.6524143367381662e-05	0.0008221798996781642	3.0861091248462085
BSN	2.49750649609242	2.074070572334293	8.90647502569314	2.7163347775806085e-05	0.0008307540478907316	3.165332431573396
RAB39A	2.8815592939423254	2.26151272384813	8.904300346629535	2.7209958579839725e-05	0.0008307540478907316	3.1569237982147644
BEX1	3.2383980929897564	5.247560988231446	8.864182999917299	2.8086085680140908e-05	0.0008481487219299279	2.880619460103281
FAM81B	6.837571861414798	-2.5709575825142776	8.861649751260256	2.8142461254946204e-05	0.0008483087821840318	2.402566545696309
NOL4	2.2169916110152115	3.9226144164026167	8.837819757295023	2.867902920674966e-05	0.0008564221654020947	2.978973600993804
PPP1R1B	4.312916773595191	2.109423005790671	8.835976699089835	2.872100343963916e-05	0.0008564221654020947	3.1078917201945533
TOX2	2.2531417298250416	5.4839625009092	8.775233361811521	3.01436511877109e-05	0.0008876877705260467	2.7893156203721086
JPH1	2.3652793826749283	2.135919489491834	8.756392681999102	3.060081849152542e-05	0.0008979664210702221	3.042817580097525
ECHDC2	2.565512016975982	3.283277025702123	8.63311688596448	3.379088206871005e-05	0.0009622455825942251	2.8680975466807386
RAB25	4.013403232670468	-0.29064254606803347	8.597905604806181	3.476922180039222e-05	0.0009795366787874041	2.883560462350439
POU1F1	2.4650047145842677	5.853082685567111	8.580945903089765	3.525172811829134e-05	0.000982375758920639	2.601435174878132
TRAV3	2.9803359703724444	1.6406551705486119	8.564913147270786	3.571476387786294e-05	0.0009936122499956876	2.9028271716061305
SCN4B	3.833368019231603	0.3591955098832338	8.543134959285727	3.6354673817884306e-05	0.001003014580467177	2.8875429274882958
FAM107B	1.6716792745576496	5.220644013697906	8.529789056324812	3.6753154516087634e-05	0.0010073154180820125	2.5925564725728627
CPNE4	3.383053802938613	0.19457249288945727	8.48425990820781	3.814979650256433e-05	0.001034239462237708	2.8354864548636396
RIPPLY3	2.768272082520205	1.3547418485285039	8.433605457743196	3.977390087877762e-05	0.001063719775454232	2.801780981051916
MSC	1.4143454819164951	5.9240160805795155	8.423900337167911	4.009382306924962e-05	0.001063719775454232	2.459341752435103
GAD2	4.159441924856747	-0.4658963922269988	8.362623747967453	4.218149345154365e-05	0.0011050353702471427	2.6885910859195805
NKX2-2	2.446630526301981	4.109534188272686	8.354510330521643	4.246692121779272e-05	0.001110760778750109	2.542307893880782
CD79A	3.3840284431322343	3.7752336642495092	8.349725740590678	4.2636254226911613e-05	0.001113436393796816	2.574176501227776
LINGO1	1.5229024805944311	6.955439613916374	8.342744345922695	4.2884691951723375e-05	0.0011177825592551195	2.3642413165403777
AHSG	2.6787739933125043	0.9468862486750679	8.30623733001353	4.4210482926599824e-05	0.0011366747847181059	2.7030072306227497
RTN4RL2	2.7835072616919283	0.8023534952779059	8.293376909689176	4.4688393694750184e-05	0.001147186291925975	2.693459003218095
ITPR3	1.4501397334260284	5.298808797999424	8.251607021409562	4.628093681779143e-05	0.00118076817143886	2.338132387179516
SLC35F4	3.060082454288051	1.2600297470790953	8.242065229664274	4.665357662468406e-05	0.0011884497763180637	2.644964485682273
FERMT1	2.1394173487360995	2.5595148875732563	8.225115684161151	4.732381850919749e-05	0.0012000796097339985	2.574464070087539
DPEP1	2.557454704102951	1.3246101750942114	8.209306417846804	4.795868880580246e-05	0.0012068876702660198	2.6159925899723424
HIST1H2BE	1.8738449514422069	5.194659371224136	8.207511110477371	4.8031385211923084e-05	0.0012068884674505758	2.305523157269125
VAV1	2.070709912748338	4.090100940463282	8.202490217304398	4.823534859411231e-05	0.0012083573224730187	2.408508565030411
NDUFAF3	1.8462415452928607	4.336172807769479	8.17865070344077	4.921709021300277e-05	0.0012200696288772583	2.3603915279839853
ARHGAP4	1.876503537468699	4.77527552156174	8.154519559548383	5.023365384860131e-05	0.0012396038323214324	2.2934929824599095
SLCO2B1	3.586810260203324	1.5328985092853475	8.153083836297112	5.02948719204564e-05	0.0012396038323214324	2.5624670293770357
KCNA2	2.061171496595973	5.950270024337222	8.149531138161088	5.044671499322816e-05	0.0012396038323214324	2.2093120903993597
DCDC2	2.038060249552141	4.53515698120431	8.14477799226711	5.065066770690456e-05	0.0012407919468200264	2.3086731680299932
DGKG	1.9429092416737719	3.4556737451419357	8.139545293576916	5.087626440633203e-05	0.001244482880007023	2.4214233066909525
GDAP1	1.8692752810870141	5.092528463972161	8.116459351392448	5.188506908393495e-05	0.0012589361030872132	2.230342854437275
DHRS13	2.1832831628821507	3.6286328253827187	8.100354201311935	5.260206960752162e-05	0.0012698659507432073	2.3676123426830866
SLC8A2	3.0055548453628766	0.1671947053433317	8.098483843537364	5.2686053340251666e-05	0.0012700474019277793	2.5283066677235393
FBXO41	2.015114530776383	3.2484962529864436	8.086403082383352	5.323213439584852e-05	0.0012776481505500695	2.394586786929203
AC007325.2	3.5988054716672906	2.0773487660754437	8.080009954639136	5.352367824242202e-05	0.0012791003912638666	2.4765882238538115
HIST2H3D	2.6952985657857713	3.1803798192563937	8.070808472415981	5.394642911056227e-05	0.0012836622365291243	2.387149439292509
RCOR1	1.360093233717838	6.28881056308287	8.058163901470737	5.453347054750096e-05	0.0012957745526801766	2.1146728484661015
ADRB1	1.3013085610633466	5.691594191559382	8.010581936803176	5.6807403046594614e-05	0.0013307674995781242	2.0921378284578154
TECRP1	6.052427113676587	-2.954071405981185	7.997169500613672	5.746738804819411e-05	0.00134433218041191	1.7606210930296626
LIPI	1.3500069838971713	6.1632002053350075	7.987804526889486	5.7933290160347344e-05	0.0013476386782537942	2.052193212622706
CAMKV	3.3984433319477763	1.4444883547568008	7.930748401413577	6.086465974036903e-05	0.0013847960734627248	2.3734450380735703
NDNF	1.942274371214538	2.923501360759678	7.915393425586198	6.168159909442852e-05	0.0013976393988531558	2.2704055272990455
CACNA1H	1.5884638319298179	4.7335355743187515	7.905917630106905	6.21918552966858e-05	0.0014026163394719243	2.0675941130682176
SEZ6L	2.022882034446134	3.525325753838981	7.905045739850313	6.22390416154379e-05	0.0014026163394719243	2.2007715623144843
IGHG1	2.0702455205510693	3.503352741974775	7.900944609835439	6.246153023674116e-05	0.0014038207790284627	2.1994134968079955
AP1S3	2.0529185229739353	2.334475426501473	7.804117767798838	6.798151323425513e-05	0.0014994753695985968	2.2155057197484913
MFSD3	1.8163304483928147	3.8474883915004003	7.786118731429656	6.906656504678049e-05	0.0015153587567529418	2.0530091429593336
